Taille image;Nombre de points;Cycles scalaire;Cycles SIMD naif;Cycles SIMD opti;Cycles SIMD fusion;
3x3;9;1537;6424;7423;2060;
4x4;16;2348;5774;2813;1811;
5x5;25;2754;6657;3055;1939;
6x6;36;3419;7856;3475;2216;
7x7;49;4236;9062;3695;2598;
8x8;64;5073;10260;3950;2713;
9x9;81;5888;11472;4106;2958;
10x10;100;6972;12661;4365;3304;
11x11;121;8135;13869;4615;3422;
12x12;144;9322;15066;4887;3653;
13x13;169;10893;16266;5140;4039;
14x14;196;12018;17476;5406;4173;
15x15;225;13812;18676;5665;4400;
16x16;256;15833;19884;5936;4784;
17x17;289;17688;21068;6170;4906;
18x18;324;19438;22356;6482;5144;
19x19;361;21818;23544;6702;5527;
20x20;400;24011;24716;6000;4844;
21x21;441;22598;22236;6250;5060;
22x22;484;24891;23266;6514;5376;
23x23;529;27160;24295;6688;5459;
24x24;576;29174;25363;7007;8624;
25x25;625;31527;30206;7149;6023;
26x26;676;34292;27379;7430;8302;
27x27;729;38499;28416;7595;6344;
28x28;784;39107;29443;7855;6630;
29x29;841;41854;30474;8044;6770;
30x30;900;44688;31499;8300;6984;
31x31;961;47881;39202;10570;9034;
32x32;1024;68046;33554;8750;7423;
33x33;1089;58501;34582;8942;7602;
34x34;1156;57663;35609;9203;13028;
35x35;1225;60938;36648;9385;13472;
36x36;1296;63808;37676;9658;13556;
37x37;1369;67558;38700;9841;14283;
38x38;1444;71266;39843;10120;8688;
39x39;1521;73474;40756;10293;11267;
40x40;1600;78599;41785;10556;15011;
41x41;1681;82159;42814;10733;9311;
42x42;1764;68141;45012;11007;9518;
43x43;1849;90162;44878;12140;10840;
44x44;1936;69515;33822;12256;15852;
45x45;2025;72587;46940;12273;15950;
46x46;2116;102722;47976;12674;15346;
47x47;2209;78902;36101;12096;11606;
48x48;2304;82287;38778;13174;11776;
49x49;2401;85720;37645;13257;13152;
50x50;2500;120812;59027;12804;11241;
51x51;2601;92663;53100;13008;11436;
52x52;2704;134730;59500;16030;13884;
53x53;2809;135503;55187;13449;11884;
54x54;2916;140434;41413;13696;12100;
55x55;3025;107242;42164;13888;12400;
56x56;3136;111320;58245;14158;12542;
57x57;3249;163606;69654;20921;12755;
58x58;3364;124075;60303;14604;20495;
59x59;3481;167545;61338;14786;20390;
60x60;3600;130430;45956;15684;15348;
61x61;3721;209540;117361;27833;25104;
62x62;3844;275542;112196;26236;23103;
63x63;3969;285695;113957;26566;23407;
64x64;4096;294316;115408;26812;23650;
65x65;4225;301217;99974;19612;22638;
66x66;4356;210961;85698;22341;17632;
67x67;4489;215795;86370;26286;18235;
68x68;4624;220563;88321;27162;18368;
69x69;4761;281434;104703;26576;18568;
70x70;4900;273114;123999;28633;25022;
71x71;5041;263089;72114;17205;15164;
72x72;5184;199412;53809;12922;11452;
73x73;5329;204702;54529;15228;15314;
74x74;5476;256106;90398;18300;23818;
75x75;5625;216011;75988;18034;17833;
76x76;5776;300402;76720;18000;16041;
77x77;5929;227140;95056;28581;26073;
78x78;6084;245449;82212;18446;26719;
79x79;6241;206218;83242;18606;27562;
80x80;6400;211816;85664;20642;26828;
81x81;6561;251136;119416;24338;27572;
82x82;6724;257102;102092;30393;28188;
83x83;6889;263460;103412;19494;28033;
84x84;7056;232794;91745;30474;28742;
85x85;7225;238430;90226;21473;22324;
86x86;7396;287717;106582;33337;29723;
87x87;7569;289111;112228;33352;30158;
88x88;7744;265795;65646;20902;21906;
89x89;7921;323030;66344;21135;18846;
90x90;8100;267704;100364;26166;23793;
91x91;8281;460200;116806;26734;24088;
92x92;8464;444940;102981;27374;30242;
93x93;8649;501454;125836;37023;33133;
94x94;8836;501702;133354;22426;25722;
95x95;9025;297848;70626;22330;19924;
96x96;9216;304386;93110;22507;20256;
97x97;9409;359214;72150;22692;20619;
98x98;9604;367131;98822;23082;20533;
99x99;9801;373890;73568;23104;20855;
100x100;10000;381606;74298;28304;20942;
101x101;10201;389194;75256;23762;21300;
102x102;10404;538794;103116;24070;21496;
103x103;10609;349427;76704;24238;21756;
104x104;10816;356289;105170;24617;21889;
105x105;11025;372659;106169;31163;27157;
106x106;11236;498912;117878;24966;16588;
107x107;11449;376721;79665;18578;21819;
108x108;11664;452310;80276;18605;20203;
109x109;11881;465890;120994;25420;23135;
110x110;12100;539918;81736;18916;17147;
111x111;12321;471480;109528;25827;23517;
112x112;12544;414838;83216;26077;23558;
113x113;12769;482956;97489;26266;23612;
114x114;12996;430033;84672;26551;23845;
115x115;13225;450226;85461;26712;24337;
116x116;13456;531034;117028;26941;24469;
117x117;13689;601211;86926;27125;24601;
118x118;13924;558548;87707;27394;24768;
119x119;14161;468206;88349;27558;24984;
120x120;14400;476130;89086;27806;24984;
121x121;14641;495856;99268;33475;30422;
122x122;14884;737368;90499;33656;30674;
123x123;15129;579331;80430;32019;31225;
124x124;15376;551240;109618;28692;26076;
125x125;15625;597824;92800;28934;26006;
126x126;15876;528582;93580;35939;41525;
127x127;16129;599655;127992;29460;26777;
128x128;16384;553152;95042;22426;19784;
129x129;16641;557368;99178;37508;34120;
130x130;16900;625458;100469;52254;47129;
131x131;17161;575954;101192;43584;47426;
132x132;17424;698718;151630;83405;81682;
133x133;17689;756088;114887;57508;48224;
134x134;17956;604821;103528;53348;47135;
135x135;18225;679702;104248;53860;48746;
136x136;18496;621574;90642;39914;36226;
137x137;18769;640534;133429;40235;38857;
